********************* Time-Dependent Simulation **********************
  Iter           Time        Energy   SC Steps    Elapsed Time

**********************************************************************
      1       0.050000   -109.463446         1         1.060
      2       0.100000   -109.463446         1         1.093
      3       0.150000   -109.463446         1         1.064
      4       0.200000   -109.463446         1         1.032
      5       0.250000   -109.463446         1         0.940
      6       0.300000   -109.463446         1         0.957
      7       0.350000   -109.463446         1         0.901
      8       0.400000   -109.463446         1         0.860
      9       0.450000   -109.463446         1         0.880
     10       0.500000   -109.463446         1         0.958
     11       0.550000   -109.463446         1         0.846
     12       0.600000   -109.463446         1         0.855
     13       0.650000   -109.463446         1         0.826
     14       0.700000   -109.463446         1         0.805
     15       0.750000   -109.463446         1         0.805
     16       0.800000   -109.463446         1         0.832
     17       0.850000   -109.463446         1         0.814
     18       0.900000   -109.463446         1         0.788
     19       0.950000   -109.463446         1         0.812
     20       1.000000   -109.463446         1         0.897
