Some of the states are not fully converged!
Criterion =      0.100000E-06

Eigenvalues [H]
 #st  Spin   Eigenvalue      Occupation     Error
   1   --     0.500000       2.000000      ( 9.6E-08)
   2   --     1.500000       0.000000      ( 1.3E-06)
   3   --     2.500000       0.000000      ( 3.5E-07)
   4   --     3.500000       0.000000      ( 2.7E-07)
   5   --     4.500000       0.000000      ( 1.4E-07)
   6   --     5.500000       0.000000      ( 8.5E-08)
   7   --     6.500000       0.000000      ( 5.2E-07)
   8   --     7.500000       0.000000      ( 9.8E-08)
   9   --     8.499999       0.000000      ( 9.1E-08)
  10   --     9.499999       0.000000      ( 8.9E-08)
  11   --    10.499998       0.000000      ( 4.8E-08)
