All states converged.
Criterion =      0.100000E-06

Eigenvalues [eV]
 #st  Spin   Eigenvalue      Occupation     Error
   1   --   -16.787661       2.000000      ( 3.8E-08)
   2   --    -9.464316       2.000000      ( 6.5E-08)
   3   --    -9.464316       2.000000      ( 6.5E-08)
   4   --    -9.464316       2.000000      ( 6.5E-08)
   5   --    -0.287381       0.000000      ( 8.2E-08)
   6   --     0.822569       0.000000      ( 9.2E-08)
   7   --     0.822569       0.000000      ( 7.7E-08)
   8   --     0.822569       0.000000      ( 5.5E-08)
   9   --     1.599944       0.000000      ( 3.0E-08)
  10   --     1.599944       0.000000      ( 1.7E-08)
  11   --     1.599944       0.000000      ( 2.1E-08)
  12   --     1.813271       0.000000      ( 3.5E-08)
  13   --     1.813271       0.000000      ( 6.8E-08)
  14   --     2.309409       0.000000      ( 7.6E-08)
