Some of the states are not fully converged!
Criterion =      0.100000E-06

Eigenvalues [eV]
 #st  Spin   Eigenvalue      Occupation     Error
   1   --   -16.787658       2.000000      ( 6.0E-08)
   2   --    -9.464313       2.000000      ( 8.1E-08)
   3   --    -9.464313       2.000000      ( 7.4E-08)
   4   --    -9.464313       2.000000      ( 2.9E-08)
   5   --    -0.287380       0.000000      ( 9.1E-08)
   6   --     0.822569       0.000000      ( 6.7E-08)
   7   --     0.822570       0.000000      ( 9.1E-08)
   8   --     0.822570       0.000000      ( 2.1E-07)
   9   --     1.599944       0.000000      ( 6.1E-08)
  10   --     1.599944       0.000000      ( 1.0E-07)
  11   --     1.599944       0.000000      ( 7.0E-08)
  12   --     1.813271       0.000000      ( 1.0E-08)
  13   --     1.813271       0.000000      ( 1.5E-07)
  14   --     2.309409       0.000000      ( 2.8E-08)
