# Energy (eV)    Re alpha         Im alpha    Cross-section (A^2)
   0.000          2.6412290       0.00000000       0.00000000
   2.000          2.6996640       0.00041823       0.00007670
   4.000          2.8988750       0.00101991       0.00037411
   6.000          3.3509880       0.00234930       0.00129260
   8.000          4.7007490       0.01004305       0.00736768
  10.000          3.5819100       0.04386621       0.04022586
  10.250          4.1488880       0.11959598       0.11241277
  10.500          4.8671340       0.05001983       0.04816225
  10.750          6.7828330       0.07330614       0.07226433
  11.000         10.4927790       0.26261803       0.26490638
  11.250          3.3376490       1.06436835       1.09804380
  11.500         -0.4750620       0.20728487       0.21859521
  11.750          4.2883520       0.28012385       0.30183052
  12.000         -1.0625200       0.21176838       0.23303307
